"Quarter","Quarterly production of clay bricks: million units. Mar 1956 ? Sep 1994"
"1956Q1",189
"1956Q2",204
"1956Q3",208
"1956Q4",197
"1957Q1",187
"1957Q2",214
"1957Q3",227
"1957Q4",223
"1958Q1",199
"1958Q2",229
"1958Q3",249
"1958Q4",234
"1959Q1",208
"1959Q2",253
"1959Q3",267
"1959Q4",255
"1960Q1",242
"1960Q2",268
"1960Q3",290
"1960Q4",277
"1961Q1",241
"1961Q2",253
"1961Q3",265
"1961Q4",236
"1962Q1",229
"1962Q2",265
"1962Q3",275
"1962Q4",258
"1963Q1",231
"1963Q2",263
"1963Q3",308
"1963Q4",313
"1964Q1",293
"1964Q2",328
"1964Q3",349
"1964Q4",340
"1965Q1",309
"1965Q2",349
"1965Q3",366
"1965Q4",340
"1966Q1",302
"1966Q2",350
"1966Q3",362
"1966Q4",337
"1967Q1",326
"1967Q2",358
"1967Q3",359
"1967Q4",357
"1968Q1",341
"1968Q2",380
"1968Q3",404
"1968Q4",409
"1969Q1",383
"1969Q2",417
"1969Q3",454
"1969Q4",428
"1970Q1",386
"1970Q2",428
"1970Q3",434
"1970Q4",417
"1971Q1",385
"1971Q2",433
"1971Q3",453
"1971Q4",436
"1972Q1",399
"1972Q2",461
"1972Q3",476
"1972Q4",477
"1973Q1",452
"1973Q2",461
"1973Q3",534
"1973Q4",516
"1974Q1",478
"1974Q2",526
"1974Q3",518
"1974Q4",417
"1975Q1",340
"1975Q2",437
"1975Q3",459
"1975Q4",449
"1976Q1",424
"1976Q2",501
"1976Q3",540
"1976Q4",533
"1977Q1",457
"1977Q2",513
"1977Q3",522
"1977Q4",478
"1978Q1",421
"1978Q2",487
"1978Q3",470
"1978Q4",482
"1979Q1",458
"1979Q2",526
"1979Q3",573
"1979Q4",563
"1980Q1",513
"1980Q2",551
"1980Q3",589
"1980Q4",564
"1981Q1",519
"1981Q2",581
"1981Q3",581
"1981Q4",578
"1982Q1",500
"1982Q2",560
"1982Q3",512
"1982Q4",412
"1983Q1",303
"1983Q2",409
"1983Q3",420
"1983Q4",413
"1984Q1",400
"1984Q2",469
"1984Q3",482
"1984Q4",484
"1985Q1",447
"1985Q2",507
"1985Q3",533
"1985Q4",503
"1986Q1",443
"1986Q2",503
"1986Q3",505
"1986Q4",443
"1987Q1",415
"1987Q2",485
"1987Q3",495
"1987Q4",458
"1988Q1",427
"1988Q2",519
"1988Q3",555
"1988Q4",539
"1989Q1",511
"1989Q2",572
"1989Q3",570
"1989Q4",526
"1990Q1",472
"1990Q2",524
"1990Q3",497
"1990Q4",460
"1991Q1",373
"1991Q2",436
"1991Q3",424
"1991Q4",430
"1992Q1",387
"1992Q2",413
"1992Q3",451
"1992Q4",420
"1993Q1",394
"1993Q2",462
"1993Q3",476
"1993Q4",443
"1994Q1",421
"1994Q2",472
"1994Q3",494

Quarterly production of clay bricks: million units. Mar 1956 ? Sep 1994

